1,140,2000,70
1,135,2304,78
1,150,1000,90
1,120,500,95
1,130,6454,12
1,134,5434,24
1,124,4534,45
1,145,4656,55
1,132,3496,65
1,137,3245,75
1,134,3454,85
1,100,34,90
1,110,2,95
1,123,7987,12
1,100,9786,5
1,85,11249,10
1,80,13435,23
1,120,6534,60
1,130,5342,70
1,70,3,98
1,75,53,99
1,80,376,97
1,79,4553,96
1,89,33,95
1,90,3435,98
1,97,53,99
1,100,433,99
1,120,45,98
1,77,3,93
1,73,53,90
1,85,376,87
1,70,3,89
1,89,33,92
1,93,3435,91
1,97,53,95
1,106,433,94
1,114,45,95
1,146,5,56
1,143,90,12
1,148,6787,67
1,156,3423,78
1,165,34,87
1,158,10004,1
1,135,34,23
1,139,3242,34
1,141,34,45
0,78,1034,30
0,80,40,23
0,94,204,35
0,70,12,45
0,134,23,11
0,70,124,5
0,76,343,12
0,86,23,8
0,90,1032,3
0,92,1203,23
0,72,23,32
0,110,9,9
0,100,2032,23
0,106,798,18
0,103,954,27
0,70,453,16
0,89,2,6
0,116,45,26
0,115,765,14
0,120,567,20
0,120,4,12
0,110,356,23
0,95,2,2
0,97,34,6
0,97,12,1
0,86,234,7
0,87,987,3
0,76,29,9
0,104,567,10
0,109,34,12
0,86,2343,34
0,94,1975,45
0,70,23,56
0,75,234,67
0,80,67,76
0,85,20,69
0,0,12,0
0,0,1,0
0,0,34,0
0,0,67,0
0,0,123,0
0,0,243,0
0,0,136,0
0,0,157,0
0,0,180,0
0,0,200,0
0,0,234,0
0,0,256,0
0,0,289,0
0,0,356,0
0,0,390,0
0,0,433,0
0,0,470,0
0,0,537,0
0,0,680,0
0,0,890,0
0,0,967,0
0,0,1012,0
0,0,1458,0
0,0,1678,0
0,0,1789,0
0,0,1987,0
0,0,2312,0
0,0,2456,0
